Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
DHAKAINS,Dhaka Insurance Limited,49.80,49.80,3:45 PM,49.80 - 52.00,-1,2.66,-1.97%,49.80 - 87.60,52.00,"53,091.00",50.80,163,50.80,"2,038.350","1,200.00",,401.25,Equity,10.0,1,"40,125,000",Insurance,"71, Purana Paltan LinernDhaka-1000",58316139-43,58316144-45,contact@dhakainsurancebd.com,http://www.dhakainsurancebd.com,Mohammad Ahsan Ullah,1819165454,58316139-43  Ex: 205,ahsanullah1964@gmail.com
DOMINAGE,Dominage Steel Building Systems Limited,22.20,22.20,3:45 PM,22.10 - 23.40,-0.3,2.98,-1.33%,19.40 - 46.90,22.50,"133,654.00",22.50,210,22.50,"2,308.500","1,500.00","02 Dec, 2020","1,026.00",Equity,10.0,1,"102,600,000",Engineering,"J.R Casero Tower, 11th Floor,46, Mohakhali C/A, Dhaka-1212.",02 222282140-43,02 222282380,info@dominage.net,http://www.dominage.net,Md. Jamir Hosen Chowdhury,'01733-037301,'88-02-222282140-43 ext-140,cs@dominage.net
DOREENPWR,Doreen Power Generations and Systems Limited,69.90,69.90,3:45 PM,69.90 - 72.80,-1.4,29.36,-1.96%,65.00 - 95.00,72.80,"418,487.00",71.30,563,71.30,"11,530.159","2,000.00","06 Apr, 2016","1,617.13",Equity,10.0,1,"161,713,305",Fuel & Power,"House # 192/A(4th Floor), Lane-01rnMohakhali DOHS, Dhaka-1206",02-2222-60744.,02-222260766.,info@doreenpower.com,http://www.doreenpower.com,Masudur Rahman Bhuiyan FCS,01730-709671,+88-02-9860744 Ext. 113,masud@doreenpower.com
DSHGARME,Desh Garments Ltd.,152.80,152.30,3:45 PM,152.30 - 158.80,-2.6,3.89,-1.67%,132.10 - 294.80,158.80,"25,390.00",155.40,197,155.40,"1,170.917",100.00,,75.35,Equity,10.0,1,"7,534,856",Textile,"Awal Centre (6th Floor), 34, Kemal Ataturk Avenue, Banani C/A, Dhaka -1213","9822019, 9822314",88 - 02 - 8826049,share@deshgroup.com,http://www.deshgroup.com/desh-garments-ltd.html,,,,
DSSL,Dragon Sweater and Spinning Limited,17.20,17.20,3:45 PM,17.10 - 17.70,-0.2,21.94,-1.15%,14.70 - 24.80,17.70,"1,268,499.00",17.40,664,17.40,"3,667.803","8,000.00","23 Mar, 2016","2,107.93",Equity,10.0,1,"210,793,275",Textile,"25/2 D.I.T Road, Malibagh Chowdhury Para, Dhaka-1219","880229331404, 88029346815, 9339588",880-2-8315572,info@dsslbd.com,http://www.dsslbd.com,Dipak Kumar Saha,01913867976,,dipaksaha777@gmail.com
DULAMIACOT,Dulamia Cotton Spinning Mills Ltd.,68.80,69.30,3:45 PM,68.50 - 74.70,-1,0.19,-1.43%,45.00 - 83.20,74.70,"2,739.00",69.80,34,69.80,527.451,300.00,,75.57,Equity,10.0,1,"7,556,600",Textile,"Ancher Tower, 108, Bir Uttam C.R. Dutta Road, Dhaka-1205.","+88-02 58610012-18, 03323-79357",880 - 02 - 9662734,info@dulamiabd.com,http://www.dulamiabd.com,Kazi Ekramul Hoque,01713554206,+88-02 58610012-18 (Ext.-201),kazi.hoque@multimodebd.com
DUTCHBANGL,Dutch-Bangla Bank Ltd.,63.40,62.90,3:45 PM,62.50 - 63.50,0.4,3.02,0.63%,60.70 - 95.50,63.30,"48,019.00",63.00,138,63.00,"43,832.250","15,000.00",,"6,957.50",Equity,10.0,1,"695,750,000",Bank,"47, Motijheel C/A, Dhaka",9574196-8   ext. 119,88  02 9561889,contact@dutchbanglabank.com,http://www.dutchbanglabank.com,Mohammed Mesbahul Alam,1847278119,47112240 (direct)`,mesbah.alam@dutchbanglabank.com
EASTERNINS,Eastern Insurance Company Ltd.,52.10,52.10,3:45 PM,52.10 - 54.80,-1,5.03,-1.88%,52.10 - 168.00,54.80,"96,003.00",53.10,279,53.10,"2,289.149","1,000.00",,431.10,Equity,10.0,1,"43,110,144",Insurance,"44, Dilkusha C/A (2nd Floor), Dhaka - 1000","02223383033-4, 02223384246-8",9569735,eicl@dhaka.net,http://www.easterninsurancebd.com,Md. Shamsul Amin,01751594211,"9563033-34, 9564246-48 PABX-206",aminsalma1984@yahoo.com
EASTLAND,Eastland Insurance Company Ltd.,25.60,25.60,3:45 PM,25.50 - 26.20,-0.3,3.30,-1.16%,25.50 - 48.70,26.20,"127,534.00",25.90,193,25.90,"2,172.507","1,000.00",,838.81,Equity,10.0,1,"83,880,582",Insurance,"13, Dilkusha C/A , Dhaka - 1000",02223384600,02-9565706,info@eastlandinsurance.com,http://www.eastlandinsurance.com,"MA Rahman, FCS",01936329416,02223384600,secretary@eastlandinsurance.com
EASTRNLUB,Eastern Lubricants Blenders Limited,"1,918.60","1,918.60",3:45 PM,"1,918.60 - 2,034.00",-39.1,16.52,-2.00%,"1,330.00 - 3,780.00","2,034.00","8,589.00","1,957.70",441,"1,957.70","2,335.145",50.00,,11.95,Equity,10.0,1,"1,192,800",Fuel & Power,"PADMA BHABAN, Strand RoadrnSadarghat, Chattogram-4000","031-614235-7, 637748-9","031-635524, 633554",share@pocl.gov.bd,http://www.elbl.gov.bd,Ali Absar,01777703383,031-614235-7 Ext.286,aabsar74@gmail.com
EBL,Eastern Bank Ltd.,32.20,32.40,3:45 PM,32.20 - 33.00,-0.2,0.42,-0.62%,31.60 - 42.40,33.00,"12,853.00",32.40,59,32.40,"34,768.360","12,000.00",,"10,731.00",Equity,10.0,1,"1,073,097,525",Bank,"100 Gulshan Avenue, Dhaka-1212, BangladeshrnrnAndrnShare Department: Z Towr (6th floor), Holding # 04, Road # 132, Gulshan-1, Dhaka-1212","01814-225335, +8809666777325 Ext. 8630",+88-02-55069009,sharedepartment@ebl-bd.com,http://www.ebl.com.bd,"Md. Abdullah Al Mamun, FCS",01817543805,+88 09666777325 Ext.8212,abdullah.al.mamun@ebl-bd.com
EBL1STMF,EBL First Mutual Fund,7.40,7.40,3:45 PM,7.30 - 7.50,0,0.11,0.00%,7.00 - 10.20,7.30,"14,145.00",7.40,16,7.40,"1,071.181",-,,"1,447.54",Mutual Fund,10.0,1,"144,754,222",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
EBLNRBMF,EBL NRB Mutual Fund,6.40,6.40,3:45 PM,6.40 - 6.50,0,2.18,0.00%,5.90 - 8.20,6.50,"340,798.00",6.40,61,6.40,"1,435.272",-,,"2,242.61",Mutual Fund,10.0,1,"224,261,303",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
ECABLES,Eastern Cables Ltd.,187.10,187.10,3:45 PM,187.10 - 195.10,-3.8,24.12,-1.99%,115.60 - 214.40,187.30,"127,131.00",190.90,855,190.90,"5,039.760",600.00,,264.00,Equity,10.0,1,"26,400,000",Engineering,"North Patenga, Chattogram. rnAndrnBangladesh Steel & Engineering Corporation Bhaban (4th Floor)rn102 Kazi Nazrul Islam AvenuernKarwan Bazar, Dhaka.","0312501290, 0312501297.",312501292,"info@easterncables.gov.bd , accounts@easterncables.com",http://www.easterncables.gov.bd,Md. Golam Mawla,01554323286,031-2501297,golam_2011.mawla@yahoo.com
EGEN,eGeneration Limited,44.40,44.40,3:45 PM,44.10 - 46.50,-0.6,0.44,-1.33%,42.50 - 69.40,46.50,"9,991.00",45.00,26,45.00,"3,375.000","1,000.00","23 Feb, 2021",750.00,Equity,10.0,1,"75,000,000",IT Sector,"Saimon Center, House # 4/A, Level # 5, Road # 22, Gulshan - 1","02 222293076, 02 222289177",,info@egeneration.co,http://www.egeneration.co,Mr. Jishan Ahmed Siddiquee (CC),01670881558,"02 222293076, 02 222289177",jishan.ahmed@egeneration.co
EHL,Eastern Housing Limited,53.80,53.80,3:45 PM,53.80 - 55.70,-1,14.75,-1.82%,45.80 - 73.50,55.70,"272,679.00",54.80,370,54.80,"5,115.314","2,000.00",,933.45,Equity,10.0,1,"93,345,153",Services & Real Estate,"59/B, Kemal Ataturk Avenue, BananirnDhaka-1213, Bangladesh. rnAnd (Share Office)rn125/A, Motijheel Commercial ArearnDhaka-1000, Bangladesh.","'+88- 02-55033669, '+88- 02-9566303-5",+88-0-9566311,share@easternhousing.com,http://www.easternhousing.com,"Salim Ahmed, FCS",'01713003131,+88- 02-55033669   Ext-212,salim@easternhousing.com
EMERALDOIL,Emerald Oil Industries Ltd.,38.20,38.20,3:45 PM,38.20 - 40.10,-0.7,21.38,-1.80%,30.10 - 46.60,39.60,"552,948.00",38.90,800,38.90,"2,322.855","1,000.00","19 Mar, 2014",597.14,Equity,10.0,1,"59,713,500",Food & Allied,"Hallimunnesa\'s Court, 9th Floor, 23 Kakrail, Dhaka - 1000",'01810-035028,,emldoil@yahoo.com,http://www.spondonoil.com,,,,
ENVOYTEX,Envoy Textiles Limited,42.70,42.70,3:45 PM,41.90 - 44.50,0.3,0.88,0.71%,32.00 - 55.20,41.90,"20,662.00",42.40,84,42.40,"7,111.954","4,000.00","09 Dec, 2012","1,677.35",Equity,10.0,1,"167,734,767",Textile,"Envoy Tower, 18/E, Lake Circus Kalabagan (West Panthapath), Dhaka - 1205","+88 02 9102583 - 90, 9102583-90 Ext. 810",+88 02 -9130162,info@envoytextiles.com,http://www.envoytextiles.com,M Saiful Islam Chowdhury FCS,01713-277534,9102583-90 Ext. 801,saiful.chowdhury@envoytextiles.com
EPGL,Energypac Power Generation Limited,36.30,36.30,3:45 PM,36.30 - 37.80,-0.7,15.58,-1.89%,34.30 - 57.80,37.10,"425,644.00",37.00,378,37.00,"7,036.039","5,000.00","19 Jan, 2021","1,901.63",Equity,10.0,1,"190,163,216",Fuel & Power,"Energy Center, 25, Tejgaon, I/A, Dhaka-1208.",02-8870669,02-8870697,sales@energypac.com,http://www.energypac.com,Md. Alauddin Shibly,01713061579,,Shibly.cs@energypac.com
ESQUIRENIT,Esquire Knit Composite Limited,33.80,33.80,3:45 PM,33.40 - 34.00,-0.2,2.29,-0.59%,30.50 - 44.20,34.00,"68,018.00",34.00,134,34.00,"4,586.458","2,000.00","09 Apr, 2019","1,348.96",Equity,10.0,1,"134,895,833",Textile,"Esquire Tower, 21, Shaheed Tajuddin Ahmed Sarani, Tejgaon I/A,  Dhaka-1208",+8809612443322 Ext: 788,,info@esquirebd.com,http://www.esquireknit.com,Md. Monir Hossain,01711549219,+8809612443322 Ext. 788,cs@esquire.com.bd
ETL,Evince Textiles Limited,9.40,9.40,3:45 PM,9.40 - 9.60,-0.1,3.11,-1.05%,8.70 - 15.30,9.40,"330,715.00",9.50,135,9.50,"1,738.044","3,500.00","17 Jul, 2016","1,829.52",Equity,10.0,1,"182,952,000",Textile,"Lotus Kamal Tower One ( Level 12)rn57, Joar Sahara C/A, Nikunja-2rnNew Airport Road, Dhaka-1229.","880-2-8900870-4, 8900781-3",+880-2-8900784,info@evincetextiles.com,http://www.evincetextiles.com,Md. Sabbir Hasan Mahmud,+88 01717-333243,"880-2-8900870-4, 8900781-3 Ext. 217",sabbir@evincetextiles.com
EXIM1STMF,EXIM Bank 1st Mutual Fund,5.80,5.80,3:45 PM,5.70 - 5.90,0,1.91,0.00%,5.60 - 10.10,5.90,"328,812.00",5.80,130,5.80,830.887,-,"16 Jul, 2013","1,432.56",Mutual Fund,10.0,1,"143,256,343",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
EXIMBANK,Export Import (Exim) Bank of Bangladesh Limited,10.70,10.70,3:45 PM,10.40 - 10.70,0.2,4.74,1.90%,10.40 - 14.40,10.40,"448,368.00",10.50,188,10.50,"15,199.352","20,000.00",,"14,475.60",Equity,10.0,1,"1,447,557,344",Bank,"Symphony, Plot#SE(F):9, Road-142, Gulshan Avenue, Dhaka-1212","88-02-55045547, Ext: 157, 177",88-02-55045567,bs@eximbankbd.com,http://www.eximbankbd.com,Md. Monirul Islam,01922290840,"88-02-55045547, Ext: 116",bs@eximbankbd.com
FAMILYTEX,Familytex (BD) Limited,4.90,4.90,3:45 PM,4.90 - 4.90,0,0.00,0.00%,3.80 - 6.80,4.90,591.00,4.90,6,4.90,"1,735.386","4,000.00","18 Jun, 2013","3,541.60",Equity,10.0,1,"354,160,388",Textile,"House # 127 (3rd Floor), Road # 10, Block # C, Niketon, Gulshan - 01, Dhaka.","880-2-9881941, 9881806",880-2-9862055,info@familytexbd.com,http://www.familytexbd.com,,,,
FARCHEM,Far Chemical Industries Limited,10.90,10.90,3:45 PM,10.80 - 11.10,0,3.67,0.00%,10.50 - 18.70,10.90,"336,317.00",10.90,182,10.90,"2,377.218","3,000.00","08 Jul, 2014","2,180.93",Equity,10.0,1,"218,093,423",Pharmaceuticals & Chemicals,"House No: 11 (Floor: 5-A), Road No: 12, Niketon, Gulshan-1, Dhaka-1212","+88-02-9858734, 01794058818",+88-02-9858735,farchemicalltd@gmail.com,http://www.farchemicalbd.com,,,,
FAREASTFIN,Fareast Finance & Investment Limited,5.60,5.60,3:45 PM,5.20 - 5.70,0.4,0.79,7.69%,4.60 - 10.70,5.20,"142,977.00",5.20,75,5.20,853.129,"2,000.00","17 Sep, 2013","1,640.63",Equity,10.0,1,"164,063,330",Financial Institutions,"Simpletree Lighthouse (10th floor), Plot-53, Road-21, Block-B, Kemal Ataturk Avenue, Banani, Dhaka-1213.","55033328-30, 55033334",,ffil@bdcom.net,http://www.ffilbd.com,Md. Ramzan  Hossain,01977-334502,55033328,ramzan@ffilbd.com
FAREASTLIF,Fareast Islami Life Insurance Co. Ltd.,76.30,75.40,3:45 PM,74.70 - 79.80,0.1,6.30,0.13%,45.30 - 119.00,74.70,"83,584.00",76.20,252,76.20,"5,695.398","1,000.00",,747.43,Equity,10.0,1,"74,742,751",Insurance,"Fareast Tower (Level-18), 35 Topkhana Road, Dhaka-1000",9613000123 Ext. 1032 & 1125,88-02-9573077,info@fareastislamilife.com,http://www.fareastislamilife.com,Mahamudhul Hasan ACS,01787652767,9613000123 Ext. 1014,mahamudhul2011@gmail.com
FASFIN,FAS Finance & Investment Limited,5.10,5.10,3:45 PM,5.00 - 5.10,0,2.84,0.00%,4.90 - 11.70,5.00,"561,254.00",5.10,126,5.10,760.295,"2,100.00",,"1,490.77",Equity,10.0,1,"149,077,364",Financial Institutions,"Suvastu Imam Square (4th & 5th Floor),65, Gulshan Avenue, Gulshan- 1, Dhaka-1212.",+88-2-58815841   '+ 88-09604046565,+88-029860531,info@fasbd.com,http://www.fasbd.com,Md. Zahid Mahmud,+88-01844014912,+88-2-58815841  '+ 88-09604046565 (ex-103),zahid@fasbd.com
FBFIF,First Bangladesh Fixed Income Fund,5.10,5.10,3:45 PM,5.00 - 5.20,0,2.21,0.00%,4.90 - 7.30,5.00,"434,740.00",5.10,68,5.10,"3,958.350",-,,"7,761.00",Mutual Fund,10.0,1,"776,147,028",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
FEDERALINS,Federal Insurance Company Ltd.,25.70,25.70,3:45 PM,25.30 - 27.80,-0.1,0.94,-0.39%,25.00 - 44.00,27.80,"36,569.00",25.80,112,25.80,"1,832.823","1,000.00",,710.40,Equity,10.0,1,"71,039,643",Insurance,"Navana DH Tower (6th Floor), 6 Panthapath, Dhaka- 1215","55013781, 55013782, 01740857274",55013783,headoffice@federalinsubd.com,http://www.federalinsubd.com,Sheikh Mohammad Anwar Uddin,1819806474,"55013881 55013781-2, Ext.: 13",anwar3t@gmail.com
FEKDIL,Far East Knitting & Dyeing Industries Limited,17.30,17.40,3:45 PM,17.10 - 17.70,-0.1,4.56,-0.57%,14.80 - 25.30,17.60,"262,417.00",17.40,232,17.40,"3,806.149","3,000.00","28 Aug, 2014","2,187.44",Equity,10.0,1,"218,744,171",Textile,"Moyeen Centre, House No. 9/B, Road No. 3, Gulshan 1, Dhaka 1212","9848508, 58810170, 58814013, 9857187",880-2-9848509,info@fareastknit.com,http://www.fareastknit.com,Md. Sorafuzzaman,01711593385,"9848508, 58810170,58814013 (ext. 103)",zaman@fareastknit.com
FINEFOODS,Fine Foods Limited,46.50,46.50,3:45 PM,46.50 - 48.20,-0.9,5.27,-1.90%,36.00 - 63.80,48.20,"112,433.00",47.40,272,47.40,662.364,"1,000.00",,139.74,Equity,10.0,1,"13,973,918",Food & Allied,"New Market City Complex (Level-6), 44/1, Rahim Square, New Market, Dhaka- 1205.","9671320, 9667868, 01926766469",88-02-9660354,finefoodsltd@live.com,http://www.finefoodslimited.com,Md. Sohel Hossain,01926766469,"9671320, 9667868 ext.199",finefoodsltd@live.com
FIRSTFIN,First Finance Limited,5.20,5.20,3:45 PM,5.00 - 5.20,0.2,1.38,4.00%,4.90 - 9.90,5.00,"269,910.00",5.00,70,5.00,592.723,"5,000.00",,"1,185.00",Equity,10.0,1,"118,544,663",Financial Institutions,"Jahangir Tower (3rd Floor), 10, Kawran Bazar, Dhaka - 1215","28189676, 255013841, 1987007714",28153971,info@first-finance.com.bd,http://www.first-finance.com.bd,Md. Shahjahan Ali Pk.,1987007880,0255013841,secretary@first-finance.com.bd
FIRSTSBANK,First Security Islami Bank Limited,10.10,10.10,3:45 PM,10.00 - 10.20,0,8.97,0.00%,9.80 - 15.80,10.10,"887,962.00",10.10,347,10.10,"10,564.682","30,000.00",,"10,460.10",Equity,10.0,1,"1,046,008,121",Bank,"Rangs RD Center, Block: SE (F), Plot: 03, Gulshan AvenuernGulshan-1, Dhaka-1212, And  23 Dikusha C/A, Dhaka-1000 (Share Office)","02-223357613, 02-223380229, 02-223390979",02-55045699,share@fsiblbd.com,http://www.fsiblbd.com,Oli Kamal,1938886188,02-223357613,bcs@fsiblbd.com
FORTUNE,Fortune Shoes Limited,80.10,80.10,3:45 PM,80.10 - 83.30,-1.6,62.24,-1.96%,50.70 - 145.80,81.70,"771,942.00",81.70,895,81.70,"13,279.149","2,500.00","20 Oct, 2016","1,625.35",Equity,10.0,1,"162,535,489",Tannery Industries,"Dhaka Office: Moon Island, Suite: C-3, Plot: 34 & 36rnRoad: 08, Block:E, Niketon, Gulshan-1, Dhaka-1212.","029851132, '043163498, '043161776'",,mizanur@fortuneshoes.com,http://www.fortuneshoesbd.com,Riaz Uddin Bhuiya,01816382722,029851132,cs@fortuneshoesbd.com
FUWANGCER,Fu-Wang Ceramic Industries Ltd.,18.00,18.00,3:45 PM,18.00 - 18.70,-0.3,14.58,-1.64%,14.90 - 28.60,18.70,"806,251.00",18.30,474,18.30,"2,493.724","5,000.00",,"1,362.69",Equity,10.0,1,"136,269,093",Ceramics Sector,"204/B (4th floor) Bir Uttam Mir Shawkat Road, Tejgaon-Gulshan Link Road, Dhaka-1208.","02222282361, 02222283275",02222263985,shareinfo@fuwangceramic-bd.com,http://www.fuwangceramic.com,MD. A. HALIM THAKUR,"01989196096, 01955576967","02222282361, 02222283275, EXT-110",halimthakur@gmail.com
FUWANGFOOD,Fu Wang Food Ltd.,23.90,23.90,3:45 PM,23.90 - 24.70,-0.4,56.62,-1.65%,12.80 - 27.30,24.70,"2,348,852.00",24.30,"1,117",24.30,"2,693.395","1,500.00",,"1,108.39",Equity,10.0,1,"110,839,284",Food & Allied,"House # 55, Road # 17, Banani C/A, Dhaka - 1213","+880222287359-60, +880222289864, +880222289958",+8802222285452,info@fuwangfoodsltd.com,http://www.fuwangfoodsltd.com/,Md. Sharif Al Mahmood,+8801701222901,"+880222287359-60, +880222289864, +880222289958, Ext-105",fuwangfoodsshare@gmail.com
GBBPOWER,GBB Power Ltd.,20.70,20.70,3:45 PM,20.60 - 21.30,-0.3,9.03,-1.43%,20.60 - 51.10,21.30,"433,159.00",21.00,406,21.00,"2,137.875","2,000.00","13 Jun, 2012","1,018.04",Equity,10.0,1,"101,803,548",Fuel & Power,"Momtaz Plaza (4th Floor), House # 07, Road # 04, Dhanmondi R/A, Dhaka-1205","02-58616703,    02-58613322,    02-9666568, '01732401797",,power@gbb.com.bd,http://www.gbb.com.bd,Mohammad Sattar Hossain,01552-302021,"02-58616703,  02-58613322, 02-9666568   Ext-101",compsec@gbb.com.bd
GEMINISEA,Gemini Sea Food Ltd.,328.50,328.50,3:45 PM,328.00 - 350.00,-6.1,11.85,-1.82%,164.20 - 553.90,350.00,"35,701.00",334.60,668,334.60,"1,571.386",400.00,,46.96,Equity,10.0,1,"4,696,312",Food & Allied,"House # 44, Road # 16 (New), 27(old), Dhanmondi, Dhaka-1209",41020596-41020602,41020525,cs@geminiseafood.com,http://www.geminiseafood.com,AFM Nazrul Islam,01711-295933,+88-02-48118902 to +88-02-48118908 (Ext.-403),nazrul@gemconcorp.com
GENEXIL,Genex Infosys Limited,69.60,69.60,3:45 PM,69.60 - 72.20,-1.4,44.79,-1.97%,69.60 - 185.00,71.80,"634,082.00",71.00,"1,121",71.00,"8,061.794","2,000.00","06 Feb, 2019","1,135.46",Equity,10.0,1,"113,546,400",IT Sector,"Plot-42 & 69, Nitol Niloy Tower (Level 8), Nikunja-2, Khilkhet, Dhaka-1208","+88 09 612 111 000, 01847-100131",+88 02 55033757,jewel.rashed@genexinfosys.com,http://www.genexinfosys.com,Md. Jewel Rashed Sarker,01847-100131,"+880255033757, Ext-309",jewel.rashed@genexinfosys.com
GENNEXT,Generation Next Fashions Limited,6.20,6.20,3:45 PM,6.00 - 6.20,0.1,7.65,1.64%,5.10 - 9.20,6.20,"1,252,064.00",6.10,207,6.10,"3,019.345","5,000.00","05 Dec, 2012","4,949.75",Equity,10.0,1,"494,974,555",Textile,"Building # 348, Road # 05, DOHS Baridhara, Dhaka-1206","8412625, 8411623, 8414302",8416491,mdshahjahan@gnf-bd.com,http://www.gnf-bd.com,Mohammed Shahjahan,01769969101,"8412625, 8411623, 8414302; Ext: 109",mdshahjahan@gnf-bd.com
GHAIL,Golden Harvest Agro Industries Ltd.,17.70,17.70,3:45 PM,17.60 - 18.20,0,6.97,0.00%,15.70 - 24.50,18.20,"392,667.00",17.70,267,17.70,"3,820.326","2,500.00","04 Mar, 2013","2,158.38",Equity,10.0,1,"215,837,621",Food & Allied,"Sena Kalyan Business Mart, Tejgaon, Level 8, Gulshan- Tejgaon- Link Road, Tejgaon I/A, Dhaka-1208.",+8801713185562,+8802 8878204,info@goldenharvestbd.com,http://www.goldenharvestbd.com,Nirmal Chandra Sardar,01841 672029,+88028878784-7-108,nirmal.sardar@goldenharvestbd.com
GHCL,Global Heavy Chemicals Limited,35.20,35.20,3:45 PM,35.20 - 37.50,-0.7,4.40,-1.95%,29.70 - 47.50,37.50,"123,212.00",35.90,201,35.90,"2,584.800","1,000.00","06 Mar, 2013",720.00,Equity,10.0,1,"72,000,000",Pharmaceuticals & Chemicals,"37, Segun Bagicha, Dhaka-1000","880-2-9330191, 9357244",880-2-8312919,info.ghcl@opsonin.net,http://www.ghclbd.com,Khondoker Ahadduzzaman,01713-374873,02-48311900 Ext: 1616,ahad.ghcl@opsonin.net
GLOBALINS,Global Insurance Company Ltd.,32.50,32.50,3:45 PM,32.50 - 33.70,-0.6,2.86,-1.81%,32.50 - 68.00,33.20,"86,559.00",33.10,178,33.10,"1,342.263","1,000.00",,405.52,Equity,10.0,1,"40,551,763",Insurance,"Al-Razi Complex (12th Floor), 166-167, shaheed syed Nazrul Islam sarani, Purana Paltan,Dhaka-1000.","55111601-3, 9570450,  9570147, 55111604",9556103,globalho2000@gmail.com,http://www.globalinsurancebd.com,Md. Omar Faruk,01711677215,"55111601-3, 9570450,  9570147 (ext-201)",cs@gilbd.com
GOLDENSON,Golden Son Ltd.,18.90,18.90,3:45 PM,18.80 - 19.70,-0.2,44.85,-1.05%,15.70 - 23.30,19.40,"2,346,589.00",19.10,937,19.10,"3,280.039","5,000.00",,"1,717.30",Equity,10.0,1,"171,729,772",Engineering,"Khowajnagar, PO: Ajimpara, PS: Karnaphuli, Chattogram.","+880 31-617934, 2864526, +880 55052098-99",+88-02-55052100,inquiry@goldensonbd.com,http://www.goldensonbd.com,"Md. Ayinuddin, ACS",01755645047,+88055052098-99 (Ext. 202),secretary@goldensonbd.com
GP,Grameenphone Ltd.,287.10,287.10,3:45 PM,286.00 - 288.50,1.1,31.84,0.38%,277.00 - 396.80,287.50,"110,776.00",286.00,942,286.00,"386,185.806","40,000.00",,"13,503.00",Equity,10.0,1,"1,350,300,022",Telecommunication,"GPHOUSE, Bashundhara, Baridhara, Dhaka-1229, Bangladesh.",01711555888,+880-2-8412921,shareoffice@grameenphone.com,http://www.grameenphone.com,Mr. S.M. Imdadul Haque,01713118191,0202222282990,imdadul@grameenphone.com
GPHISPAT,GPH Ispat Ltd.,48.50,48.50,3:45 PM,48.40 - 50.10,-0.5,36.89,-1.02%,38.00 - 74.60,50.00,"753,507.00",49.00,980,49.00,"21,404.008","10,000.00","19 Apr, 2012","4,368.16",Equity,10.0,1,"436,816,480",Engineering,"Crown Chamber, 325 Asadgonj, Chattogram.","+88 031 631460 (PABX), +88 031 2854997, +88 031 631460 (Ext: 149)",+88 031 610995,info@gphispat.com.bd,https://www.gphispat.com.bd/,"Abu Bakar Siddique, FCMA",01711405988,"+88 031 631460 (Ext: 127), +88 031 2866481",siddique_1949@yahoo.com
GQBALLPEN,GQ Ball Pen Industries Ltd.,106.80,106.80,3:45 PM,105.80 - 109.30,1,2.72,0.95%,97.00 - 149.00,109.30,"25,518.00",105.80,150,105.80,944.592,500.00,,89.28,Equity,10.0,1,"8,928,091",Miscellaneous,"G.Q. Building, 331/2, Tajuddin Ahmed Swaroni, Bara Magh Bazar, Dhaka - 1217",9344630-9,"880-02-8317009, 8319788'",cs@gq-group.com,http://www.gq-group.com,Uzzal Kumar Saha,1938877012,"9344630-9 , Ext.132",cs@gq-group.com
GRAMEENS2,Grameen One,15.20,15.20,3:45 PM,15.20 - 15.40,0,2.01,0.00%,15.10 - 21.90,15.40,"132,194.00",15.20,54,15.20,"2,772.448",-,,"1,823.98",Mutual Fund,10.0,1,"182,397,902",Mutual Funds,"AIMS of Bangladesh LimitedUnique Trade Center (UTC),Level 6(SW),8 Panthopath, Karwan Bazar, Dhaka-1215.","48120558, 48120559","48112652,48112653",hello@aims-bangladesh.com,http://www.aims-bangladesh.com,,,,
GREENDELMF,Green Delta Mutual Fund,7.00,7.00,3:45 PM,7.00 - 7.00,0,0.37,0.00%,6.50 - 9.90,7.00,"53,482.00",7.00,36,7.00,"1,050.000",-,,"1,500.00",Mutual Fund,10.0,1,"150,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Block # CEN(A), Gulshan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
